step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
331,CASH_IN,244741.03,C2019139761,4302127.12,4546868.15,C1770585425,27488476.67,27243735.63,0,0
166,CASH_OUT,271538.47,C478114312,0.0,0.0,C1088311753,3250559.76,3522098.23,0,0
93,CASH_OUT,94065.96,C1116666835,0.0,0.0,C922639914,2265518.14,2359584.1,0,0
356,CASH_IN,10629.0,C524630079,11194.0,21823.0,C1070343526,0.0,0.0,0,0
7,PAYMENT,11557.22,C633261819,11318.68,0.0,M2122774970,0.0,0.0,0,0
277,CASH_OUT,162715.91,C609320118,30749.0,0.0,C349785354,147131.31,309847.23,0,0
282,CASH_OUT,81360.53,C398065643,0.0,0.0,C1174249547,602071.96,683432.48,0,0
280,CASH_OUT,350591.66,C649596594,613415.0,262823.34,C2060518994,0.0,305169.1,0,0
204,PAYMENT,9267.55,C1788487512,57984.29,48716.74,M811169709,0.0,0.0,0,0
372,PAYMENT,6527.68,C235033046,0.0,0.0,M1071175091,0.0,0.0,0,0
211,CASH_IN,252929.15,C1217279112,8551855.06,8804784.21,C1275133556,472351.51,219422.37,0,0
131,PAYMENT,1722.59,C667010853,394.11,0.0,M1390736983,0.0,0.0,0,0
403,PAYMENT,3100.34,C1570849423,30521.0,27420.66,M1112770687,0.0,0.0,0,0
228,CASH_OUT,213628.6,C218337196,0.0,0.0,C26246759,3244907.12,3458535.72,0,0
372,CASH_IN,235965.29,C1582954835,11149.0,247114.29,C1494048012,149611.93,0.0,0,0
278,CASH_OUT,187302.99,C306897599,0.0,0.0,C1035699675,382367.15,569670.14,0,0
164,PAYMENT,1311.9,C1647312673,0.0,0.0,M1131957820,0.0,0.0,0,0
156,CASH_OUT,451543.14,C1718988691,25849.0,0.0,C1311144857,0.0,451543.14,0,0
133,CASH_IN,116485.43,C223005807,299323.0,415808.43,C154718513,184956.53,68471.09,0,0
10,CASH_OUT,387067.16,C1857098239,29903.0,0.0,C1514338793,68201.21,455268.37,0,0
18,PAYMENT,4864.69,C774001380,3866.53,0.0,M411983046,0.0,0.0,0,0
276,TRANSFER,1575276.03,C1124653948,0.0,0.0,C275081806,6376218.18,7951494.22,0,0
308,CASH_OUT,68838.14,C660267345,15952.0,0.0,C194838803,0.0,68838.14,0,0
278,PAYMENT,8279.34,C1769285850,32076.0,23796.66,M2068894984,0.0,0.0,0,0
34,CASH_OUT,428417.78,C704222156,11464.0,0.0,C850682182,4168048.52,4596466.3,0,0
131,CASH_IN,41331.62,C1914910561,5821854.16,5863185.78,C793844023,543641.3,502309.67,0,0
159,CASH_OUT,4968.29,C589487974,0.0,0.0,C1082236323,485652.38,490620.67,0,0
43,PAYMENT,19267.47,C614089479,0.0,0.0,M1649200676,0.0,0.0,0,0
140,CASH_IN,28372.88,C749200735,15726965.76,15755338.64,C1276319779,1298212.67,1269839.79,0,0
202,CASH_OUT,8001.03,C503569656,21042.0,13040.97,C1568357771,304309.36,312310.39,0,0
181,CASH_OUT,292099.61,C946505732,0.0,0.0,C401389157,915153.12,1207252.74,0,0
37,CASH_OUT,50505.27,C881103098,0.0,0.0,C1480811449,2376605.38,2424524.29,0,0
299,CASH_OUT,317425.42,C1609340741,16545.0,0.0,C373334253,0.0,317425.42,0,0
249,PAYMENT,7378.45,C67302899,280748.05,273369.59,M1986083989,0.0,0.0,0,0
156,PAYMENT,9018.63,C1566606309,92236.0,83217.37,M1373052251,0.0,0.0,0,0
256,CASH_OUT,215373.61,C2015179505,367188.0,151814.39,C480512840,3515152.14,3730525.75,0,0
46,CASH_OUT,166008.94,C144288098,0.0,0.0,C1249990719,1228172.5,1394181.44,0,0
210,CASH_IN,203329.24,C1041269337,2342714.03,2546043.27,C1944780896,1922074.82,1718745.58,0,0
179,PAYMENT,17309.04,C1943125605,0.0,0.0,M333211977,0.0,0.0,0,0
373,CASH_OUT,209772.81,C708564437,100453.0,0.0,C1374658384,1564.93,211337.74,0,0
134,CASH_OUT,67756.85,C2098639133,0.0,0.0,C884854830,2019972.78,2119319.75,0,0
375,PAYMENT,5066.71,C913971190,48038.6,42971.89,M47650229,0.0,0.0,0,0
202,CASH_IN,408438.73,C1500448763,113.0,408551.73,C1518171156,0.0,0.0,0,0
276,CASH_IN,198826.62,C1507120044,26092.0,224918.62,C2026169497,26746.24,0.0,0,0
250,PAYMENT,6748.92,C505900076,0.0,0.0,M1404538760,0.0,0.0,0,0
251,PAYMENT,39222.41,C1943190842,49765.0,10542.59,M265775704,0.0,0.0,0,0
321,PAYMENT,7405.47,C824811036,1973.87,0.0,M1505107411,0.0,0.0,0,0
48,PAYMENT,12296.24,C1959928815,586345.0,574048.76,M1596072740,0.0,0.0,0,0
133,TRANSFER,1684059.86,C1216076001,176.0,0.0,C1272615921,1638128.19,3322188.04,0,0
17,CASH_IN,74195.59,C1387427030,167862.0,242057.59,C276558833,692279.66,684505.84,0,0
134,CASH_OUT,155543.28,C2073354412,9094.0,0.0,C160606033,0.0,155543.28,0,0
177,DEBIT,8205.5,C1889530364,685.0,0.0,C789433213,454040.83,462246.33,0,0
334,CASH_OUT,972142.03,C129076810,972142.03,0.0,C948349145,0.0,972142.03,1,0
372,TRANSFER,32935.94,C1191674851,291371.0,258435.06,C577447755,0.0,32935.94,0,0
251,PAYMENT,592.72,C177315900,10591.0,9998.28,M443537465,0.0,0.0,0,0
165,CASH_OUT,151099.63,C965442931,20380.0,0.0,C661773095,2042632.25,2193731.88,0,0
41,CASH_IN,271128.68,C312706255,5613538.32,5884667.01,C836558567,271461.43,332.75,0,0
36,CASH_OUT,297730.5,C1676599304,9002.0,0.0,C1667912454,0.0,297730.5,0,0
278,CASH_OUT,176204.61,C754991064,0.0,0.0,C1295286354,381458.62,557663.24,0,0
303,PAYMENT,16148.44,C380380850,0.0,0.0,M489399626,0.0,0.0,0,0
375,PAYMENT,539.19,C1230643989,0.0,0.0,M1204875841,0.0,0.0,0,0
41,CASH_OUT,170453.87,C1302657416,0.0,0.0,C1893313102,587767.28,758221.15,0,0
569,PAYMENT,5890.51,C2126128568,0.0,0.0,M36093175,0.0,0.0,0,0
237,CASH_IN,112839.02,C83061684,4794940.9,4907779.92,C604428970,1111203.2,998364.18,0,0
187,CASH_IN,967.16,C866254947,2129187.75,2130154.91,C1262475396,1228774.27,1227807.11,0,0
209,CASH_OUT,28793.83,C33810549,0.0,0.0,C1168893045,73807.88,102601.71,0,0
355,PAYMENT,3438.85,C1159421176,0.0,0.0,M909380819,0.0,0.0,0,0
94,CASH_IN,67765.33,C1254614252,19374.0,87139.33,C2135773963,0.0,0.0,0,0
208,PAYMENT,7023.62,C1934258947,10247.0,3223.38,M938410149,0.0,0.0,0,0
136,CASH_OUT,22878.64,C1746238935,0.0,0.0,C1043002025,1626075.8,1648954.44,0,0
346,PAYMENT,37460.0,C1561357095,0.0,0.0,M1477010421,0.0,0.0,0,0
276,CASH_IN,126370.05,C1199368580,3474929.69,3601299.74,C845268950,557062.32,430692.28,0,0
163,CASH_OUT,32395.4,C1251235250,105515.0,73119.6,C10391593,34769.44,67164.84,0,0
177,CASH_OUT,9957.92,C467672736,1096.0,0.0,C1206478319,0.0,9957.92,0,0
191,CASH_OUT,51894.77,C293240680,0.0,0.0,C2083425627,1693291.18,1745185.96,0,0
134,PAYMENT,8762.33,C1023818291,0.0,0.0,M524393971,0.0,0.0,0,0
379,CASH_OUT,105330.23,C872182206,6043.0,0.0,C601502532,222759.92,328090.15,0,0
225,PAYMENT,29033.31,C566040450,30315.0,1281.69,M774881163,0.0,0.0,0,0
153,TRANSFER,2195713.23,C963822939,120631.0,0.0,C1239946720,904204.86,3099918.08,0,0
36,CASH_OUT,194046.92,C62836190,0.0,0.0,C2061372791,2084350.21,2278397.13,0,0
378,CASH_OUT,226639.78,C1634784518,0.0,0.0,C2143986937,3036928.4,3263568.18,0,0
546,PAYMENT,1879.04,C90513871,313724.0,311844.96,M16308729,0.0,0.0,0,0
211,PAYMENT,7987.41,C1768765174,0.0,0.0,M1804402319,0.0,0.0,0,0
20,CASH_OUT,267903.56,C1822844917,0.0,0.0,C1559951271,455336.91,723240.47,0,0
20,CASH_OUT,263454.27,C1681832390,475735.93,212281.66,C1856258691,723822.71,987276.98,0,0
178,PAYMENT,461.12,C675888915,0.0,0.0,M1577328153,0.0,0.0,0,0
233,PAYMENT,13821.67,C1811741150,143403.84,129582.17,M1775080970,0.0,0.0,0,0
11,TRANSFER,1846308.14,C319345404,1088405.78,0.0,C435930516,23691.46,1869999.61,0,0
129,PAYMENT,1337.42,C1311035813,188.0,0.0,M1889445887,0.0,0.0,0,0
186,PAYMENT,1000.9,C1171646483,0.0,0.0,M164158719,0.0,0.0,0,0
180,TRANSFER,310510.34,C10998887,0.0,0.0,C1206868531,7838637.38,8149147.72,0,0
44,CASH_OUT,329068.07,C1989255313,0.0,0.0,C2104809432,4048556.49,4377624.56,0,0
209,CASH_OUT,166870.42,C171176134,0.0,0.0,C2100046321,1859739.67,2026610.09,0,0
167,PAYMENT,6733.31,C808152553,30054.0,23320.69,M1876452786,0.0,0.0,0,0
329,TRANSFER,1326795.09,C2040612646,124342.0,0.0,C1738237215,73923.81,1439641.47,0,0
283,PAYMENT,16159.67,C1108950958,35255.56,19095.89,M942399371,0.0,0.0,0,0
380,CASH_OUT,86269.45,C1054464342,0.0,0.0,C316324954,704559.47,790828.91,0,0
379,PAYMENT,4306.54,C761344059,0.0,0.0,M1135833115,0.0,0.0,0,0
327,CASH_OUT,290720.66,C2147381157,60736.0,0.0,C1187156169,4579799.25,4870519.91,0,0
231,CASH_IN,58279.97,C1443933526,23039764.99,23098044.96,C1454645978,1856308.9,1798028.93,0,0
299,CASH_IN,247238.16,C1642950385,54076.0,301314.16,C1341203745,0.0,0.0,0,0
9,CASH_OUT,398478.01,C77291614,0.0,0.0,C529351377,812071.04,2657145.41,0,0
330,CASH_OUT,104512.4,C533249997,0.0,0.0,C858428146,522604.17,667103.26,0,0
12,TRANSFER,1105276.05,C378780349,0.0,0.0,C1681202502,2645812.39,3536349.73,0,0
211,CASH_OUT,356858.05,C1733395980,0.0,0.0,C1887927959,1789415.22,2146273.27,0,0
182,TRANSFER,919334.43,C313039112,0.0,0.0,C1648179076,6467698.52,7387032.94,0,0
157,CASH_IN,269752.18,C1787872637,3384683.99,3654436.17,C1910145472,653505.8,383753.61,0,0
351,TRANSFER,3073645.92,C408215600,0.0,0.0,C1399393804,4010831.19,7084477.11,0,0
203,PAYMENT,8183.03,C1988139685,11260.0,3076.97,M136608055,0.0,0.0,0,0
188,CASH_OUT,35923.53,C299602027,0.0,0.0,C1359420745,233856.18,269779.71,0,0
180,CASH_OUT,249083.27,C516544211,48396.0,0.0,C372150551,1475956.34,1725039.61,0,0
37,CASH_IN,35686.44,C1464731313,2124138.34,2159824.78,C1596956753,2446117.14,2410430.7,0,0
10,CASH_IN,284507.65,C1222695539,331820.66,616328.31,C625261816,3143874.91,3054698.74,0,0
136,CASH_OUT,131569.6,C580012414,7082.0,0.0,C2054899754,0.0,131569.6,0,0
251,CASH_IN,114210.22,C201058127,10421131.33,10535341.55,C1159650589,171232.06,57021.84,0,0
230,CASH_IN,11511.15,C324342183,4658251.22,4669762.36,C1550016256,122800.6,111289.46,0,0
235,PAYMENT,18347.82,C729529132,59885.0,41537.18,M904427953,0.0,0.0,0,0
405,TRANSFER,310811.78,C945495953,0.0,0.0,C1736322209,549888.31,860700.09,0,0
284,PAYMENT,9873.85,C1837777537,34043.0,24169.15,M1745941769,0.0,0.0,0,0
140,CASH_OUT,109587.07,C519290370,10990.0,0.0,C208870916,0.0,109587.07,0,0
129,TRANSFER,7738.43,C1851803036,41202.0,33463.57,C832561359,0.0,7738.43,0,0
397,PAYMENT,36123.08,C249538848,0.0,0.0,M1329048157,0.0,0.0,0,0
324,CASH_IN,242227.28,C1541348643,8855513.83,9097741.11,C1255640648,601650.49,359423.21,0,0
209,PAYMENT,197.85,C609156965,0.0,0.0,M1482327654,0.0,0.0,0,0
379,PAYMENT,8999.5,C949435016,0.0,0.0,M861747540,0.0,0.0,0,0
21,CASH_OUT,108627.21,C2027561067,20196.0,0.0,C1471290810,82051.2,190678.41,0,0
44,CASH_OUT,42212.19,C1812537248,0.0,0.0,C1317840404,165975.43,208187.63,0,0
404,CASH_OUT,301670.56,C939538628,0.0,0.0,C584789648,539091.58,840762.15,0,0
187,PAYMENT,15080.11,C1405593679,0.0,0.0,M217394983,0.0,0.0,0,0
134,CASH_OUT,158941.36,C1587545260,26861.0,0.0,C1671554064,147789.94,306731.29,0,0
163,CASH_OUT,108591.16,C1862584700,10088.0,0.0,C1506261420,0.0,108591.16,0,0
17,PAYMENT,355.5,C556243794,0.0,0.0,M2020558576,0.0,0.0,0,0
402,TRANSFER,1061271.2,C1597321616,0.0,0.0,C244600002,5809700.77,6870971.97,0,0
157,TRANSFER,593373.35,C325259800,30493.0,0.0,C1009386567,406616.82,999990.17,0,0
262,PAYMENT,1851.51,C1247313282,140504.29,138652.78,M840030590,0.0,0.0,0,0
402,PAYMENT,4778.59,C1525078950,436756.86,431978.27,M2032101908,0.0,0.0,0,0
329,TRANSFER,874357.3,C1475784110,0.0,0.0,C520443798,1021745.05,1896102.35,0,0
306,CASH_OUT,97376.84,C1813659204,0.0,0.0,C477125904,413546.3,510923.14,0,0
322,CASH_OUT,4991.06,C791072866,5166.0,174.94,C1268231247,137620.57,142611.63,0,0
96,CASH_IN,155179.3,C1804703164,4867063.98,5022243.28,C1332545363,912678.48,757499.18,0,0
403,CASH_OUT,292762.23,C1891662758,21450.0,0.0,C272140053,53217.09,345979.32,0,0
356,PAYMENT,2692.61,C1459304380,5460.85,2768.24,M982748592,0.0,0.0,0,0
154,CASH_OUT,11098.96,C46628760,0.0,0.0,C525329996,617715.18,628814.14,0,0
39,CASH_IN,216441.83,C1138631943,3020.0,219461.83,C1778020014,0.0,0.0,0,0
216,CASH_OUT,31358.72,C2117610925,31358.72,0.0,C1891377178,420767.03,452125.75,1,0
141,CASH_OUT,24651.27,C1470338380,11479.0,0.0,C1157256179,2017.0,0.0,0,0
203,CASH_IN,116236.33,C1081855146,57833.0,174069.33,C150092141,20286.0,0.0,0,0
181,CASH_IN,123656.68,C1420216927,3384283.87,3507940.55,C1381408682,384932.9,261276.22,0,0
405,CASH_IN,294714.15,C419559949,2112684.22,2407398.38,C202100849,20477109.89,20182395.74,0,0
381,TRANSFER,255017.26,C59623059,47667.0,0.0,C1475537415,0.0,255017.26,0,0
235,CASH_OUT,54778.9,C178634282,0.0,0.0,C1732006912,998595.4,1053374.3,0,0
370,CASH_OUT,527779.99,C342721343,90895.0,0.0,C821309201,975606.77,1503386.75,0,0
227,PAYMENT,24136.99,C241369486,21345.0,0.0,M764757912,0.0,0.0,0,0
550,PAYMENT,1768.92,C1685135429,28388.0,26619.08,M1205750184,0.0,0.0,0,0
8,PAYMENT,11638.3,C379609892,0.0,0.0,M761477414,0.0,0.0,0,0
376,PAYMENT,43443.41,C1035810035,123124.0,79680.59,M265572527,0.0,0.0,0,0
235,CASH_OUT,214678.79,C1317591059,0.0,0.0,C461513083,1031259.72,1245938.5,0,0
154,PAYMENT,15540.67,C828148883,314860.0,299319.33,M1053794801,0.0,0.0,0,0
159,CASH_OUT,248491.49,C1087788640,4217.0,0.0,C222551706,2421756.01,2670247.5,0,0
379,CASH_OUT,216308.86,C129331071,0.0,0.0,C1271989059,1239419.07,1455727.93,0,0
377,CASH_OUT,114446.44,C1580284988,50769.0,0.0,C1809315582,40859.31,155305.75,0,0
24,CASH_IN,284309.58,C1812118746,1945506.56,2229816.14,C2056936796,1813996.06,1529686.49,0,0
396,CASH_IN,64006.93,C1407836542,9915599.78,9979606.71,C1614017123,1213819.04,1149812.11,0,0
19,CASH_IN,235239.93,C1469935382,5171261.56,5406501.5,C768673652,3592816.33,3357576.4,0,0
21,PAYMENT,7449.1,C89891546,0.0,0.0,M211128294,0.0,0.0,0,0
225,PAYMENT,58013.85,C2011324573,0.0,0.0,M553839345,0.0,0.0,0,0
353,CASH_OUT,97779.21,C998367338,1108.0,0.0,C258739874,5225271.77,5323050.98,0,0
402,CASH_OUT,1417.8,C249944759,0.0,0.0,C1050137507,61447.0,62864.8,0,0
211,CASH_IN,218844.92,C437550985,14114214.09,14333059.01,C1489675165,1247752.51,1028907.59,0,0
129,PAYMENT,24638.41,C1617723854,0.0,0.0,M1451424135,0.0,0.0,0,0
209,CASH_IN,43832.83,C1602389490,414831.56,458664.39,C805545276,0.0,0.0,0,0
405,PAYMENT,2268.41,C513624563,0.0,0.0,M1875087961,0.0,0.0,0,0
258,CASH_IN,284253.04,C431070769,8731991.15,9016244.19,C640836152,2488001.68,2203748.64,0,0
399,CASH_IN,270496.26,C1223951451,8390097.5,8660593.76,C1914765753,362664.27,92168.01,0,0
19,CASH_IN,65277.39,C725443077,5751413.25,5816690.64,C1435027658,350715.48,285438.09,0,0
34,CASH_OUT,62560.46,C377983545,47669.0,0.0,C1316489156,4432.18,66992.64,0,0
157,CASH_OUT,150719.62,C254630223,266.0,0.0,C1278831169,2530170.04,2680889.67,0,0
204,PAYMENT,331.49,C15322858,11287.0,10955.51,M133005135,0.0,0.0,0,0
258,PAYMENT,14397.42,C697001271,396.0,0.0,M160385462,0.0,0.0,0,0
251,CASH_OUT,259407.51,C1768789724,21548.0,0.0,C1449753487,0.0,259407.51,0,0
10,CASH_OUT,179660.27,C276430469,0.0,0.0,C722849894,233172.18,551616.52,0,0
397,CASH_OUT,287064.29,C259729063,204321.0,0.0,C2059460630,0.0,287064.29,0,0
302,CASH_OUT,281800.95,C106858538,15745.0,0.0,C291671792,82636903.57,82918704.52,0,0
140,CASH_OUT,182807.74,C843493167,55389.4,0.0,C1278969349,307415.93,490223.67,0,0
177,CASH_OUT,121268.05,C933475278,0.0,0.0,C1447093901,192799.07,314067.12,0,0
397,CASH_OUT,36657.55,C1570419948,47586.0,10928.45,C165233189,0.0,36657.55,0,0
13,TRANSFER,904731.16,C1372255951,213.0,0.0,C1042741248,184980.04,1089711.2,0,0
164,PAYMENT,7061.44,C154292089,0.0,0.0,M1286263149,0.0,0.0,0,0
185,CASH_OUT,137849.83,C1183551487,0.0,0.0,C1440090738,2045320.6,2183170.43,0,0
209,PAYMENT,1229.91,C383499040,0.0,0.0,M290265474,0.0,0.0,0,0
140,PAYMENT,8553.46,C1551629201,103724.63,95171.17,M56016451,0.0,0.0,0,0
187,CASH_OUT,55871.96,C2028326851,20070.0,0.0,C1410876909,1271613.0,1275204.67,0,0
373,CASH_OUT,169954.91,C281244472,0.0,0.0,C1024255014,665409.64,835364.54,0,0
184,DEBIT,637.47,C1198563764,0.0,0.0,C563228617,906016.88,906654.35,0,0
260,PAYMENT,2978.57,C313498574,166985.0,164006.43,M435488067,0.0,0.0,0,0
306,PAYMENT,9923.98,C1330603013,0.0,0.0,M1929783385,0.0,0.0,0,0
35,PAYMENT,11749.35,C318936976,401379.0,389629.65,M1044343250,0.0,0.0,0,0
230,CASH_OUT,187895.82,C477780834,198102.0,10206.18,C622870452,2938914.05,3126809.88,0,0
185,CASH_OUT,123391.94,C1965348104,340539.77,217147.84,C289876357,419892.01,543283.95,0,0
9,PAYMENT,15392.9,C1482581463,0.0,0.0,M1293777881,0.0,0.0,0,0
45,CASH_OUT,371328.98,C102389422,0.0,0.0,C1742012205,1566369.0,1937697.98,0,0
164,CASH_OUT,289828.91,C29450784,50354.0,0.0,C131618577,0.0,289828.91,0,0
38,CASH_OUT,587258.84,C113432379,216402.0,0.0,C674220598,21351.32,608610.16,0,0
232,PAYMENT,8105.54,C1441403302,49863.0,41757.46,M1124172411,0.0,0.0,0,0
395,PAYMENT,55977.23,C2067538602,479937.94,423960.71,M1193558316,0.0,0.0,0,0
522,CASH_OUT,206688.01,C385417078,33783.0,0.0,C1960277512,1642763.2,1849451.21,0,0
324,PAYMENT,28150.4,C1371119418,73066.0,44915.6,M745813409,0.0,0.0,0,0
402,CASH_IN,117161.86,C619270185,775172.52,892334.38,C2015333809,429723.58,312561.72,0,0
33,PAYMENT,13681.42,C1030869141,0.0,0.0,M1903205511,0.0,0.0,0,0
298,PAYMENT,7451.55,C1435579307,0.0,0.0,M46988025,0.0,0.0,0,0
275,PAYMENT,29210.41,C1613153621,0.0,0.0,M1027546787,0.0,0.0,0,0
260,CASH_OUT,77169.87,C1932394869,0.0,0.0,C711294181,822358.28,899528.15,0,0
356,CASH_IN,133229.46,C2051404581,10966.0,144195.46,C549934957,309451.38,176221.92,0,0
544,CASH_IN,350920.91,C2044009278,10850.0,361770.91,C1680471043,492090.19,141169.28,0,0
